,order_number,quantity_ordered,price_each,order_line_number,sales,order_date,days_since_lastorder,status,product_line,msrp,product_code,customer_name,city,country,deal_size,contact_fullname
0,10107,30,95.7,2,2871.0,2018-02-24,828,Shipped,Motorcycles,95,S10_1678,Land of Toys Inc.,NYC,USA,Small,Kwai Yu
1,10121,34,81.35,5,2765.9,2018-05-07,757,Shipped,Motorcycles,95,S10_1678,Reims Collectables,Reims,France,Small,Paul Henriot
2,10134,41,94.74,2,3884.34,2018-07-01,703,Shipped,Motorcycles,95,S10_1678,Lyon Souveniers,Paris,France,Medium,Daniel Da Cunha
3,10145,45,83.26,6,3746.7,2018-08-25,649,Shipped,Motorcycles,95,S10_1678,Toys4GrownUps.com,Pasadena,USA,Medium,Julie Young
4,10168,36,96.66,1,3479.76,2018-10-28,586,Shipped,Motorcycles,95,S10_1678,Technics Stores Inc.,Burlingame,USA,Medium,Juri Hirano
5,10180,29,86.13,9,2497.77,2018-11-11,573,Shipped,Motorcycles,95,S10_1678,Daedalus Designs Imports,Lille,France,Small,Martine Rance
6,10188,48,114.84,1,5512.32,2018-11-18,567,Shipped,Motorcycles,95,S10_1678,Herkku Gifts,Bergen,Norway,Medium,Veysel Oeztan
7,10211,41,114.84,14,4708.44,2019-01-15,510,Shipped,Motorcycles,95,S10_1678,Auto Canal Petit,Paris,France,Medium,Dominique Perrier
8,10223,37,107.18,1,3965.66,2019-02-20,475,Shipped,Motorcycles,95,S10_1678,"Australian Collectors, Co.",Melbourne,Australia,Medium,Peter Ferguson
9,10237,23,101.44,7,2333.12,2019-04-05,432,Shipped,Motorcycles,95,S10_1678,Vitachrome Inc.,NYC,USA,Small,Michael Frick
10,10251,28,113.88,2,3188.64,2019-05-18,390,Shipped,Motorcycles,95,S10_1678,Tekni Collectables Inc.,Newark,USA,Medium,William Brown
11,10263,34,108.14,2,3676.76,2019-06-28,350,Shipped,Motorcycles,95,S10_1678,Gift Depot Inc.,Bridgewater,USA,Medium,Julie King
12,10275,45,92.83,1,4177.35,2019-07-23,326,Shipped,Motorcycles,95,S10_1678,La Rochelle Gifts,Nantes,France,Medium,Janine Labrune
13,10285,36,113.88,6,4099.68,2019-08-27,292,Shipped,Motorcycles,95,S10_1678,Marta's Replicas Co.,Cambridge,USA,Medium,Marta Hernandez
14,10299,23,112.93,9,2597.39,2019-09-30,259,Shipped,Motorcycles,95,S10_1678,"Toys of Finland, Co.",Helsinki,Finland,Small,Matti Karttunen
